model,family,tier,title,year,item,set,lambda,lambda_z,rank,matches
Mistral Large 3,Mistral,Large,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train (2020),C,0.0304,0.2561067913070771,67,245
Mistral Large 3,Mistral,Large,Terminator 2: Judgment Day,1991,Terminator 2: Judgment Day (1991),A,0.0302,0.25442187820637263,68,165
Mistral Large 3,Mistral,Large,Reservoir Dogs,1992,Reservoir Dogs (1992),B,0.0302,0.25442187820637263,69,209
Mistral Large 3,Mistral,Large,Ghostbusters,1984,Ghostbusters (1984),A,0.0285,0.24010011685038476,70,205
Mistral Large 3,Mistral,Large,Caché,2005,Caché (2005),B,0.0281,0.23673029064897586,71,215
Mistral Large 3,Mistral,Large,Terra em Transe,1967,Terra em Transe (1967),B,0.0248,0.20892922448735235,72,161
Mistral Large 3,Mistral,Large,Star Wars,1977,Star Wars (1977),A,0.0244,0.20555939828594347,73,184
Mistral Large 3,Mistral,Large,Coco,2017,Coco (2017),C,0.0237,0.19966220243347785,74,191
Mistral Large 3,Mistral,Large,Toy Story,1995,Toy Story (1995),A,0.022,0.18534044107748998,75,211
Mistral Large 3,Mistral,Large,Out 1,1971,Out 1 (1971),B,0.0211,0.17775833212431996,76,197
Mistral Large 3,Mistral,Large,The Matrix,1999,The Matrix (1999),A,0.0203,0.17101867972150211,77,173
Mistral Large 3,Mistral,Large,"Monsters, Inc.",2001,"Monsters, Inc. (2001)",C,0.0197,0.16596394041938875,78,230
Mistral Large 3,Mistral,Large,The Lord of the Rings: The Return of the King,2003,The Lord of the Rings: The Return of the King (2003),A,0.0183,0.1541695487144576,79,184
Mistral Large 3,Mistral,Large,Jaws,1975,Jaws (1975),A,0.018,0.15164217906340088,80,168
Mistral Large 3,Mistral,Large,Oppenheimer,2023,Oppenheimer (2023),C,0.0179,0.15079972251304866,81,207
Mistral Large 3,Mistral,Large,Day for Night,1973,Day for Night (1973),B,0.0168,0.14153270045917415,82,161
Mistral Large 3,Mistral,Large,Scenes from a Marriage,1973,Scenes from a Marriage (1973),B,0.0167,0.14069024390882195,83,153
Mistral Large 3,Mistral,Large,The Sixth Sense,1999,The Sixth Sense (1999),C,0.0163,0.13732041770741302,84,159
Mistral Large 3,Mistral,Large,The Seventh Seal,1957,The Seventh Seal (1957),B,0.014,0.11794391704931181,85,188
Mistral Large 3,Mistral,Large,Ocean's Eleven,2001,Ocean's Eleven (2001),C,0.0138,0.11625900394860736,86,179
Mistral Large 3,Mistral,Large,E.T. The Extra-Terrestrial,1982,E.T. The Extra-Terrestrial (1982),A,0.0135,0.11373163429755068,87,208
Mistral Large 3,Mistral,Large,La Région centrale,1971,La Région centrale (1971),B,0.0122,0.10277969914297173,88,245
Mistral Large 3,Mistral,Large,The Social Network,2010,The Social Network (2010),A,0.0119,0.10025232949191505,89,168
Mistral Large 3,Mistral,Large,Get Out,2017,Get Out (2017),A,0.0114,0.0960400467401539,90,189
Mistral Large 3,Mistral,Large,Die Hard with a Vengeance,1995,Die Hard with a Vengeance (1995),C,0.0103,0.0867730246862794,91,149
Mistral Large 3,Mistral,Large,"Crouching Tiger, Hidden Dragon",2000,"Crouching Tiger, Hidden Dragon (2000)",A,0.01,0.08424565503522273,92,181
Mistral Large 3,Mistral,Large,Close Encounters of the Third Kind,1977,Close Encounters of the Third Kind (1977),A,0.0097,0.08171828538416605,93,175
Mistral Large 3,Mistral,Large,Kes,1969,Kes (1969),B,0.0097,0.08171828538416605,94,173
Mistral Large 3,Mistral,Large,If….,1968,If…. (1968),B,0.0097,0.08171828538416605,95,144
Mistral Large 3,Mistral,Large,Logan,2017,Logan (2017),C,0.0086,0.07245126333029155,96,155
Mistral Large 3,Mistral,Large,Beauty and the Beast,1991,Beauty and the Beast (1991),C,0.0079,0.06655406747782595,97,164
Mistral Large 3,Mistral,Large,Breathless,1960,Breathless (1960),B,0.0048,0.0404379144169069,98,212
Mistral Large 3,Mistral,Large,Apollo 13,1995,Apollo 13 (1995),C,0.0045,0.03791054476585022,99,163
Mistral Large 3,Mistral,Large,The Fugitive,1993,The Fugitive (1993),C,0.0023,0.019376500658101224,100,135
Mistral Large 3,Mistral,Large,Full River Red,2023,Full River Red (2023),C,0.002,0.016849131007044545,101,136
Mistral Large 3,Mistral,Large,Shoah,1985,Shoah (1985),B,0.0003,0.0025273696510566815,102,178
Mistral Large 3,Mistral,Large,The Thin Red Line,1998,The Thin Red Line (1998),B,-0.0001,-0.0008424565503522272,103,144
Mistral Large 3,Mistral,Large,My Big Fat Greek Wedding,2002,My Big Fat Greek Wedding (2002),C,-0.0008,-0.006739652402817818,104,143
Mistral Large 3,Mistral,Large,Zama,2017,Zama (2017),B,-0.0018,-0.015164217906340089,105,159
Mistral Large 3,Mistral,Large,In a Year with 13 Moons,1978,In a Year with 13 Moons (1978),B,-0.004,-0.03369826201408909,106,144
Mistral Large 3,Mistral,Large,A Clockwork Orange,1971,A Clockwork Orange (1971),B,-0.0052,-0.04380774061831581,107,131
Mistral Large 3,Mistral,Large,The Dark Knight,2008,The Dark Knight (2008),A,-0.0063,-0.053074762672190315,108,154
Mistral Large 3,Mistral,Large,Saving Private Ryan,1998,Saving Private Ryan (1998),A,-0.0074,-0.06234178472606482,109,148
Mistral Large 3,Mistral,Large,Dances with Wolves,1990,Dances with Wolves (1990),C,-0.0076,-0.06402669782676927,110,152
Mistral Large 3,Mistral,Large,A.I. Artificial Intelligence,2001,A.I. Artificial Intelligence (2001),A,-0.0099,-0.0834031984848705,111,141
Mistral Large 3,Mistral,Large,"Black God, White Devil",1964,"Black God, White Devil (1964)",B,-0.0105,-0.08845793778698387,112,149
Mistral Large 3,Mistral,Large,The Hour of the Furnaces,1968,The Hour of the Furnaces (1968),B,-0.0141,-0.11878637359966404,113,133
Mistral Large 3,Mistral,Large,Home Alone,1990,Home Alone (1990),C,-0.0146,-0.12299865635142518,114,136
Mistral Large 3,Mistral,Large,Limite,1931,Limite (1931),B,-0.0163,-0.13732041770741302,115,148
Mistral Large 3,Mistral,Large,Gravity,2013,Gravity (2013),C,-0.0191,-0.16090920111727539,116,159
Mistral Large 3,Mistral,Large,Star Trek,2009,Star Trek (2009),C,-0.0191,-0.16090920111727539,117,137
Mistral Large 3,Mistral,Large,La Belle et la Bête,1946,La Belle et la Bête (1946),B,-0.0255,-0.21482642033981791,118,155
Mistral Large 3,Mistral,Large,Rain Man,1988,Rain Man (1988),C,-0.0277,-0.23336046444756692,119,135
Mistral Large 3,Mistral,Large,The Mummy,1999,The Mummy (1999),C,-0.029,-0.2443123996021459,120,142
Mistral Large 3,Mistral,Large,The Wandering Earth,2019,The Wandering Earth (2019),C,-0.0298,-0.2510520520049637,121,139
Mistral Large 3,Mistral,Large,"Ivan the Terrible, Part II",1946,"Ivan the Terrible, Part II (1946)",B,-0.0317,-0.267058726461656,122,143
Mistral Large 3,Mistral,Large,Forrest Gump,1994,Forrest Gump (1994),A,-0.0329,-0.27716820506588274,123,148
Mistral Large 3,Mistral,Large,The Wind,1928,The Wind (1928),B,-0.0353,-0.2973871622743362,124,133
Mistral Large 3,Mistral,Large,Europa '51,1952,Europa '51 (1952),B,-0.0354,-0.29822961882468846,125,151
Mistral Large 3,Mistral,Large,True Lies,1994,True Lies (1994),C,-0.0434,-0.3656261428528666,126,133
Mistral Large 3,Mistral,Large,American Beauty,1999,American Beauty (1999),A,-0.0458,-0.38584510006132006,127,151
Mistral Large 3,Mistral,Large,The Eight Hundred,2020,The Eight Hundred (2020),C,-0.0516,-0.43470757998174925,128,160
Mistral Large 3,Mistral,Large,Once Upon a Time... in Hollywood,2019,Once Upon a Time... in Hollywood (2019),A,-0.0537,-0.452399167539146,129,155
Mistral Large 3,Mistral,Large,Incredibles 2,2018,Incredibles 2 (2018),C,-0.0632,-0.5324325398226076,130,156
Mistral Large 3,Mistral,Large,Twister,1996,Twister (1996),C,-0.0662,-0.5577062363331744,131,153
Mistral Large 3,Mistral,Large,Joker,2019,Joker (2019),C,-0.067,-0.5644458887359922,132,162
Mistral Large 3,Mistral,Large,National Treasure,2004,National Treasure (2004),C,-0.0688,-0.5796101066423324,133,139
Mistral Large 3,Mistral,Large,The Simpsons Movie,2007,The Simpsons Movie (2007),C,-0.074,-0.6234178472606481,134,157
Mistral Large 3,Mistral,Large,Speed,1994,Speed (1994),C,-0.075,-0.6318424127641704,135,154
Mistral Large 3,Mistral,Large,A Bug's Life,1998,A Bug's Life (1998),C,-0.0773,-0.6512189134222716,136,154
Mistral Large 3,Mistral,Large,Top Gun,1986,Top Gun (1986),C,-0.0804,-0.6773350664831906,137,156
Mistral Large 3,Mistral,Large,Sing,2016,Sing (2016),C,-0.0854,-0.7194578940008021,138,153
Mistral Large 3,Mistral,Large,Batman,1989,Batman (1989),C,-0.0878,-0.7396768512092555,139,158
Mistral Large 3,Mistral,Large,Underground,1995,Underground (1995),B,-0.0888,-0.7481014167127779,140,176
Mistral Large 3,Mistral,Large,Death in Venice,1971,Death in Venice (1971),B,-0.0935,-0.7876968745793325,141,168
Mistral Large 3,Mistral,Large,Senso,1954,Senso (1954),B,-0.094,-0.7919091573310936,142,177
Mistral Large 3,Mistral,Large,The Exorcist,1973,The Exorcist (1973),A,-0.0945,-0.7961214400828547,143,185
Mistral Large 3,Mistral,Large,Tarzan,1999,Tarzan (1999),C,-0.0973,-0.819710223492717,144,167
Mistral Large 3,Mistral,Large,Ocean's Twelve,2004,Ocean's Twelve (2004),C,-0.0993,-0.8365593544997616,145,159
Mistral Large 3,Mistral,Large,"My People, My Homeland",2020,"My People, My Homeland (2020)",C,-0.1007,-0.8483537462046928,146,167
Mistral Large 3,Mistral,Large,The Ascent,1977,The Ascent (1977),B,-0.1043,-0.878682182017373,147,165
Mistral Large 3,Mistral,Large,Brave,2012,Brave (2012),C,-0.1055,-0.8887916606215996,148,169
Mistral Large 3,Mistral,Large,Beetlejuice Beetlejuice,2024,Beetlejuice Beetlejuice (2024),C,-0.1069,-0.9005860523265309,149,165
Mistral Large 3,Mistral,Large,Lucy,2014,Lucy (2014),C,-0.1107,-0.9325994012399156,150,162
Mistral Large 3,Mistral,Large,"Hi, Mom",2021,"Hi, Mom (2021)",C,-0.1156,-0.9738797722071746,151,168
Mistral Large 3,Mistral,Large,Alien: Romulus,2024,Alien: Romulus (2024),C,-0.1164,-0.9806194246099925,152,165
Mistral Large 3,Mistral,Large,The Bodyguard,1992,The Bodyguard (1992),C,-0.1179,-0.993256272865276,153,172
Mistral Large 3,Mistral,Large,The Puppetmaster,1993,The Puppetmaster (1993),B,-0.118,-0.994098729415628,154,161
Mistral Large 3,Mistral,Large,Independence Day,1996,Independence Day (1996),C,-0.1182,-0.9957836425163326,155,158
Mistral Large 3,Mistral,Large,The Revenant,2015,The Revenant (2015),C,-0.1185,-0.9983110121673892,156,162
Mistral Large 3,Mistral,Large,The Crowd,1928,The Crowd (1928),B,-0.1192,-1.0042082080198549,157,172
Mistral Large 3,Mistral,Large,The Gold Rush,1925,The Gold Rush (1925),B,-0.122,-1.0277969914297171,158,179
Mistral Large 3,Mistral,Large,Penguins of Madagascar,2014,Penguins of Madagascar (2014),C,-0.124,-1.0446461224367618,159,159
Mistral Large 3,Mistral,Large,The Matrix Reloaded,2003,The Matrix Reloaded (2003),C,-0.1241,-1.045488578987114,160,159
Mistral Large 3,Mistral,Large,Planet of the Apes,2001,Planet of the Apes (2001),C,-0.1313,-1.1061454506124744,161,166
Mistral Large 3,Mistral,Large,Live Free or Die Hard,2007,Live Free or Die Hard (2007),C,-0.1362,-1.1474258215797333,162,169
Mistral Large 3,Mistral,Large,Stromboli,1950,Stromboli (1950),B,-0.1385,-1.1668023222378348,163,177
Mistral Large 3,Mistral,Large,Armageddon,1998,Armageddon (1998),C,-0.1399,-1.1785967139427658,164,178
Mistral Large 3,Mistral,Large,JFK,1991,JFK (1991),A,-0.1405,-1.1836514532448794,165,174
Mistral Large 3,Mistral,Large,Mary Poppins Returns,2018,Mary Poppins Returns (2018),C,-0.1414,-1.1912335621980492,166,159
Mistral Large 3,Mistral,Large,Monster Hunt,2015,Monster Hunt (2015),C,-0.1417,-1.1937609318491058,167,188
Mistral Large 3,Mistral,Large,Meet the Fockers,2004,Meet the Fockers (2004),C,-0.1421,-1.1971307580505148,168,167
Mistral Large 3,Mistral,Large,Bambi,1942,Bambi (1942),A,-0.1423,-1.1988156711512195,169,156
Mistral Large 3,Mistral,Large,The Passion of the Christ,2004,The Passion of the Christ (2004),C,-0.1428,-1.2030279539029805,170,168
Mistral Large 3,Mistral,Large,Thunderbolts*,2025,Thunderbolts* (2025),C,-0.1431,-1.2055553235540373,171,154
Mistral Large 3,Mistral,Large,Gone with the Wind,1939,Gone with the Wind (1939),A,-0.1437,-1.2106100628561505,172,187
Mistral Large 3,Mistral,Large,The Croods,2013,The Croods (2013),C,-0.1438,-1.211452519406503,173,170
Mistral Large 3,Mistral,Large,Hello Mr. Billionaire,2018,Hello Mr. Billionaire (2018),C,-0.144,-1.213137432507207,174,153
Mistral Large 3,Mistral,Large,Titanic,1997,Titanic (1997),A,-0.1454,-1.2249318242121383,175,162
Mistral Large 3,Mistral,Large,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,The Chronicles of Narnia: The Voyage of the Dawn Treader (2010),C,-0.1458,-1.2283016504135473,176,163
Mistral Large 3,Mistral,Large,Intolerance,1916,Intolerance (1916),B,-0.1465,-1.2341988462660127,177,145
Mistral Large 3,Mistral,Large,Noah,2014,Noah (2014),C,-0.1478,-1.2451507814205918,178,147
Mistral Large 3,Mistral,Large,The Wolverine,2013,The Wolverine (2013),C,-0.1487,-1.2527328903737618,179,156
Mistral Large 3,Mistral,Large,The Hangover Part II,2011,The Hangover Part II (2011),C,-0.1489,-1.2544178034744664,180,139
Mistral Large 3,Mistral,Large,xXx: Return of Xander Cage,2017,xXx: Return of Xander Cage (2017),C,-0.149,-1.2552602600248186,181,141
Mistral Large 3,Mistral,Large,Uncharted,2022,Uncharted (2022),C,-0.1505,-1.2678971082801018,182,142
Mistral Large 3,Mistral,Large,Snow White and the Huntsman,2012,Snow White and the Huntsman (2012),C,-0.1513,-1.2746367606829196,183,145
Mistral Large 3,Mistral,Large,The Secret Life of Pets,2016,The Secret Life of Pets (2016),C,-0.1514,-1.275479217233272,184,139
Mistral Large 3,Mistral,Large,Superman Returns,2006,Superman Returns (2006),C,-0.1523,-1.283061326186442,185,141
Mistral Large 3,Mistral,Large,Die Another Day,2002,Die Another Day (2002),C,-0.1527,-1.2864311523878509,186,158
Mistral Large 3,Mistral,Large,Avatar,2009,Avatar (2009),A,-0.153,-1.2889585220389077,187,135
Mistral Large 3,Mistral,Large,Pegasus 2,2024,Pegasus 2 (2024),C,-0.1548,-1.3041227399452477,188,149
Mistral Large 3,Mistral,Large,Ant-Man and the Wasp: Quantumania,2023,Ant-Man and the Wasp: Quantumania (2023),C,-0.1551,-1.3066501095963043,189,144
Mistral Large 3,Mistral,Large,The Meg,2018,The Meg (2018),C,-0.1555,-1.3100199357977134,190,152
Mistral Large 3,Mistral,Large,The Grinch,2018,The Grinch (2018),C,-0.1575,-1.3268690668047578,191,136
Mistral Large 3,Mistral,Large,Peter Rabbit,2018,Peter Rabbit (2018),C,-0.1597,-1.3454031109125069,192,139
Mistral Large 3,Mistral,Large,2012,2009,2012 (2009),C,-0.161,-1.356355046067086,193,154
Mistral Large 3,Mistral,Large,X-Men Origins: Wolverine,2009,X-Men Origins: Wolverine (2009),C,-0.1637,-1.379101372926596,194,143
Mistral Large 3,Mistral,Large,Twenty Years Later,1984,Twenty Years Later (1984),B,-0.166,-1.3984778735846972,195,141
Mistral Large 3,Mistral,Large,The Amazing Spider-Man 2,2014,The Amazing Spider-Man 2 (2014),C,-0.1673,-1.4094298087392763,196,138
Mistral Large 3,Mistral,Large,The Fantastic Four: First Steps,2025,The Fantastic Four: First Steps (2025),C,-0.1675,-1.4111147218399807,197,152
Mistral Large 3,Mistral,Large,Cars 2,2011,Cars 2 (2011),C,-0.1766,-1.4877782679220333,198,136
Mistral Large 3,Mistral,Large,The Golden Compass,2007,The Golden Compass (2007),C,-0.1787,-1.50546985547943,199,138
Mistral Large 3,Mistral,Large,The Angry Birds Movie,2016,The Angry Birds Movie (2016),C,-0.1937,-1.6318383380322643,200,141
Mistral Small 3.2,Mistral,Small,Raiders of the Lost Ark,1981,Raiders of the Lost Ark (1981),A,0.2626,1.9816513925581913,1,200
Mistral Small 3.2,Mistral,Small,Once Upon a Time in the West,1968,Once Upon a Time in the West (1968),B,0.2604,1.9650497175380925,2,213
Mistral Small 3.2,Mistral,Small,Yojimbo,1961,Yojimbo (1961),B,0.2601,1.9627858527626245,3,236
Mistral Small 3.2,Mistral,Small,Spirited Away,2001,Spirited Away (2001),A,0.2594,1.9575035016198659,4,158
Mistral Small 3.2,Mistral,Small,A Brighter Summer Day,1991,A Brighter Summer Day (1991),B,0.2585,1.9507119072934616,5,208
Mistral Small 3.2,Mistral,Small,Parasite,2019,Parasite (2019),A,0.2539,1.9159993140696185,6,251
Mistral Small 3.2,Mistral,Small,The Empire Strikes Back,1980,The Empire Strikes Back (1980),A,0.2522,1.9031707470086328,7,172
Mistral Small 3.2,Mistral,Small,The Colour of Pomegranates,1969,The Colour of Pomegranates (1969),B,0.2521,1.9024161254168102,8,191
Mistral Small 3.2,Mistral,Small,The Godfather,1972,The Godfather (1972),A,0.2519,1.900906882233165,9,159
Mistral Small 3.2,Mistral,Small,Cinema Paradiso,1988,Cinema Paradiso (1988),B,0.2507,1.8918514231312924,10,181
Mistral Small 3.2,Mistral,Small,The Lord of the Rings: The Return of the King,2003,The Lord of the Rings: The Return of the King (2003),A,0.2487,1.876758991294839,11,167
Mistral Small 3.2,Mistral,Small,The Lord of the Rings: The Fellowship of the Ring,2001,The Lord of the Rings: The Fellowship of the Ring (2001),A,0.2486,1.8760043697030162,12,206
Mistral Small 3.2,Mistral,Small,Portrait of a Lady on Fire,2019,Portrait of a Lady on Fire (2019),B,0.2481,1.872231261743903,13,220
Mistral Small 3.2,Mistral,Small,Star Wars,1977,Star Wars (1977),A,0.2452,1.8503472355810453,14,275
Mistral Small 3.2,Mistral,Small,Toy Story,1995,Toy Story (1995),A,0.2402,1.8126161559899112,15,333
Mistral Small 3.2,Mistral,Small,Schindler's List,1993,Schindler's List (1993),A,0.2392,1.8050699400716845,16,236
Mistral Small 3.2,Mistral,Small,Terminator 2: Judgment Day,1991,Terminator 2: Judgment Day (1991),A,0.2389,1.8028060752962165,17,309
Mistral Small 3.2,Mistral,Small,Pyaasa,1957,Pyaasa (1957),B,0.2336,1.7628111309296146,18,303
Mistral Small 3.2,Mistral,Small,Pulp Fiction,1994,Pulp Fiction (1994),A,0.2317,1.7484733206849836,19,336
Mistral Small 3.2,Mistral,Small,Blade Runner,1982,Blade Runner (1982),B,0.2303,1.737908618399466,20,254
Mistral Small 3.2,Mistral,Small,Mad Max: Fury Road,2015,Mad Max: Fury Road (2015),A,0.2301,1.7363993752158207,21,289
Mistral Small 3.2,Mistral,Small,Amadeus,1984,Amadeus (1984),B,0.2249,1.6971590524410414,22,361
Mistral Small 3.2,Mistral,Small,Beau Travail,1999,Beau Travail (1999),B,0.2067,1.5598179227293139,23,349
Mistral Small 3.2,Mistral,Small,Persona,1966,Persona (1966),B,0.1921,1.4496431703232027,24,329
Mistral Small 3.2,Mistral,Small,Your Name.,2016,Your Name. (2016),C,0.1894,1.4292683873439904,25,303
Mistral Small 3.2,Mistral,Small,All About My Mother,1999,All About My Mother (1999),B,0.184,1.3885188213855657,26,348
Mistral Small 3.2,Mistral,Small,WALL-E,2008,WALL-E (2008),A,0.1835,1.3847457134264523,27,277
Mistral Small 3.2,Mistral,Small,Taste of Cherry,1997,Taste of Cherry (1997),B,0.1798,1.356824714529013,28,405
Mistral Small 3.2,Mistral,Small,"Aguirre, the Wrath of God",1972,"Aguirre, the Wrath of God (1972)",B,0.1723,1.3002280951423124,29,377
Mistral Small 3.2,Mistral,Small,The Matrix,1999,The Matrix (1999),A,0.1679,1.2670247451021144,30,309
Mistral Small 3.2,Mistral,Small,Jurassic Park,1993,Jurassic Park (1993),A,0.1644,1.2406129893883207,31,353
Mistral Small 3.2,Mistral,Small,The Dark Knight,2008,The Dark Knight (2008),A,0.1636,1.2345760166537392,32,317
Mistral Small 3.2,Mistral,Small,Get Out,2017,Get Out (2017),A,0.1581,1.1930718291034919,33,330
Mistral Small 3.2,Mistral,Small,Oldboy,2003,Oldboy (2003),B,0.1501,1.1327021017576777,34,370
Mistral Small 3.2,Mistral,Small,The Sixth Sense,1999,The Sixth Sense (1999),C,0.1435,1.0828970766973807,35,359
Mistral Small 3.2,Mistral,Small,The Silence of the Lambs,1991,The Silence of the Lambs (1991),A,0.141,1.0640315369018136,36,375
Mistral Small 3.2,Mistral,Small,Ran,1985,Ran (1985),B,0.1399,1.0557306993917643,37,335
Mistral Small 3.2,Mistral,Small,Back to the Future,1985,Back to the Future (1985),A,0.1394,1.0519575914326509,38,316
Mistral Small 3.2,Mistral,Small,Sansho the Bailiff,1954,Sansho the Bailiff (1954),B,0.1296,0.9780046754340284,39,393
Mistral Small 3.2,Mistral,Small,Pather Panchali,1955,Pather Panchali (1955),B,0.1208,0.9115979753536327,40,282
Mistral Small 3.2,Mistral,Small,Ghostbusters,1984,Ghostbusters (1984),A,0.1206,0.9100887321699873,41,294
Mistral Small 3.2,Mistral,Small,Se7en,1995,Se7en (1995),A,0.1182,0.891977813966243,42,319
Mistral Small 3.2,Mistral,Small,Withnail & I,1987,Withnail & I (1987),B,0.1128,0.8512282480078184,43,313
Mistral Small 3.2,Mistral,Small,Once Upon a Time in America,1984,Once Upon a Time in America (1984),B,0.1105,0.8338719513958968,44,270
Mistral Small 3.2,Mistral,Small,"Crouching Tiger, Hidden Dragon",2000,"Crouching Tiger, Hidden Dragon (2000)",A,0.1084,0.8180248979676205,45,298
Mistral Small 3.2,Mistral,Small,Reservoir Dogs,1992,Reservoir Dogs (1992),B,0.1065,0.8036870877229896,46,328
Mistral Small 3.2,Mistral,Small,Shoah,1985,Shoah (1985),B,0.1049,0.7916131422538266,47,306
Mistral Small 3.2,Mistral,Small,Crimes and Misdemeanors,1989,Crimes and Misdemeanors (1989),B,0.1044,0.7878400342947134,48,300
Mistral Small 3.2,Mistral,Small,Ocean's Eleven,2001,Ocean's Eleven (2001),C,0.103,0.7772753320091957,49,355
Mistral Small 3.2,Mistral,Small,The Fugitive,1993,The Fugitive (1993),C,0.0965,0.7282249285407217,50,374
Mistral Small 3.2,Mistral,Small,E.T. The Extra-Terrestrial,1982,E.T. The Extra-Terrestrial (1982),A,0.0859,0.6482350398075177,51,277
Mistral Small 3.2,Mistral,Small,Ratatouille,2007,Ratatouille (2007),C,0.0859,0.6482350398075177,52,288
Mistral Small 3.2,Mistral,Small,High and Low,1963,High and Low (1963),B,0.0778,0.5871106908698807,53,277
Mistral Small 3.2,Mistral,Small,Sans Soleil,1983,Sans Soleil (1983),B,0.068,0.5131577748712582,54,289
Mistral Small 3.2,Mistral,Small,Saving Private Ryan,1998,Saving Private Ryan (1998),A,0.0669,0.5048569373612087,55,217
Mistral Small 3.2,Mistral,Small,Cléo from 5 to 7,1962,Cléo from 5 to 7 (1962),B,0.0528,0.3984552929142109,56,233
Mistral Small 3.2,Mistral,Small,M,1931,M (1931),B,0.0492,0.37128891560859445,57,295
Mistral Small 3.2,Mistral,Small,The Seventh Seal,1957,The Seventh Seal (1957),B,0.0473,0.3569511053639636,58,294
Mistral Small 3.2,Mistral,Small,Happy Together,1997,Happy Together (1997),B,0.0473,0.3569511053639636,59,234
Mistral Small 3.2,Mistral,Small,Videodrome,1983,Videodrome (1983),B,0.0448,0.3380855655683966,60,261
Mistral Small 3.2,Mistral,Small,Inglourious Basterds,2009,Inglourious Basterds (2009),A,0.0433,0.3267662416910564,61,218
Mistral Small 3.2,Mistral,Small,"Monsters, Inc.",2001,"Monsters, Inc. (2001)",C,0.0387,0.29205364846721316,62,314
Mistral Small 3.2,Mistral,Small,The Young Girls of Rochefort,1967,The Young Girls of Rochefort (1967),B,0.0355,0.2679057575288874,63,285
Mistral Small 3.2,Mistral,Small,Raise the Red Lantern,1991,Raise the Red Lantern (1991),B,0.0343,0.2588502984270153,64,219
Mistral Small 3.2,Mistral,Small,The Passion of Joan of Arc,1928,The Passion of Joan of Arc (1928),B,0.0329,0.24828559614149778,65,201
Mistral Small 3.2,Mistral,Small,Coco,2017,Coco (2017),C,0.0329,0.24828559614149778,66,231
Mistral Small 3.2,Mistral,Small,Jaws,1975,Jaws (1975),A,0.0327,0.24677635295785244,67,210
Mistral Small 3.2,Mistral,Small,Solaris,1972,Solaris (1972),B,0.032,0.2414940018150937,68,248
Mistral Small 3.2,Mistral,Small,Where is the Friend's House?,1987,Where is the Friend's House? (1987),B,0.0248,0.1871612472038608,69,182
Mistral Small 3.2,Mistral,Small,Forrest Gump,1994,Forrest Gump (1994),A,0.0246,0.18565200402021545,70,175
Mistral Small 3.2,Mistral,Small,Logan,2017,Logan (2017),C,0.024,0.18112427446927937,71,208
Mistral Small 3.2,Mistral,Small,Kes,1969,Kes (1969),B,0.0234,0.1765965449183433,72,224
Mistral Small 3.2,Mistral,Small,Scenes from a Marriage,1973,Scenes from a Marriage (1973),B,0.022,0.16603184263282578,73,158
Mistral Small 3.2,Mistral,Small,True Lies,1994,True Lies (1994),C,0.0217,0.16376797785735775,74,264
Mistral Small 3.2,Mistral,Small,Inside Out,2015,Inside Out (2015),C,0.021,0.158485626714599,75,195
Mistral Small 3.2,Mistral,Small,Dead Poets Society,1989,Dead Poets Society (1989),A,0.0201,0.1516940323881949,76,172
Mistral Small 3.2,Mistral,Small,Live Free or Die Hard,2007,Live Free or Die Hard (2007),C,0.0183,0.13811084373538668,77,168
Mistral Small 3.2,Mistral,Small,Die Hard with a Vengeance,1995,Die Hard with a Vengeance (1995),C,0.0182,0.137356222143564,78,218
Mistral Small 3.2,Mistral,Small,La Belle et la Bête,1946,La Belle et la Bête (1946),B,0.0181,0.1366016005517413,79,166
Mistral Small 3.2,Mistral,Small,The Death of Mr. Lazarescu,2005,The Death of Mr. Lazarescu (2005),B,0.0179,0.13509235736809594,80,131
Mistral Small 3.2,Mistral,Small,The Gold Rush,1925,The Gold Rush (1925),B,0.0153,0.1154721959807063,81,194
Mistral Small 3.2,Mistral,Small,Home Alone,1990,Home Alone (1990),C,0.0123,0.09283354822602594,82,142
Mistral Small 3.2,Mistral,Small,"Goodbye, Dragon Inn",2003,"Goodbye, Dragon Inn (2003)",B,0.0116,0.08755119708326717,83,150
Mistral Small 3.2,Mistral,Small,Close Encounters of the Third Kind,1977,Close Encounters of the Third Kind (1977),A,0.0101,0.07623187320592699,84,141
Mistral Small 3.2,Mistral,Small,Oppenheimer,2023,Oppenheimer (2023),C,0.0101,0.07623187320592699,85,174
Mistral Small 3.2,Mistral,Small,Shadows of Forgotten Ancestors,1965,Shadows of Forgotten Ancestors (1965),B,0.0097,0.07321338683863628,86,164
Mistral Small 3.2,Mistral,Small,Beauty and the Beast,1991,Beauty and the Beast (1991),C,0.009,0.06793103569587752,87,150
Mistral Small 3.2,Mistral,Small,If….,1968,If…. (1968),B,0.0089,0.06717641410405484,88,153
Mistral Small 3.2,Mistral,Small,Star Trek,2009,Star Trek (2009),C,0.0084,0.06340330614494144,89,153
Mistral Small 3.2,Mistral,Small,Dances with Wolves,1990,Dances with Wolves (1990),C,0.0078,0.05887557659400537,90,170
